comicID,title,issueNumber
16232,Cap Transport (2005) #12,12
16248,Cap Transport (2005) #9,9
4990,Halo Preview (2006),0
21486,Ultimate X-Men (Spanish Language Edition) (2000) #9,9
58634,A Year of Marvels: The Incredible (2016) #5,5
37534,Magician: Apprentice Riftwar Saga (2010) #17,17
58586,The Amazing Spider-Man (2015) #19 (Veregge Black Panther 50th Anniversary Variant),19
16241,Cap Transport (2005) #20,20
25320,Halo Chronicles (2009) #1,1
21479,Ultimate X-Men (Spanish Language Edition) (2000) #1,1
21468,Ultimate Spider-Man (Spanish Language Edition) (2000) #4,4
15094,Silver Surfer (1987),0
15808,Ultimate Spider-Man (2000) #110 (Mark Bagley Variant),110
37502,Marvels Vol. 1 (1994) #5,5
17486,X-Men: Phoenix - Warsong (2006),0
16234,Cap Transport (2005) #14,14
21461,Ultimate Spider-Man (Spanish Language Edition) (2000) #1,1
23561,Holiday Special (1969) #1,1
10511,Peter Parker: Spider-Man (1999) #79,79
2088,Official Handbook of the Marvel Universe (2004) #14 (FANTASTIC FOUR),14
59560,Uncanny Inhumans (2015) #12 (Land Mighty Men Variant),12
59927,Darth Vader (2015) #25 (Christopher Action Figure Black and White Variant),25
16243,Cap Transport (2005) #4,4
21481,Ultimate X-Men (Spanish Language Edition) (2000) #4,4
21470,Ultimate Spider-Man (Spanish Language Edition) (2000) #6,6
37302,Marvel Adventures Super Heroes Special (2010) #1,1
59525,The Amazing Spider-Man (2015) #15 (Panosian Mighty Men Variant),15
37504,Marvels Vol. 1 (1994) #7,7
20956,Penance: Relentless (2008),0
27238,Wolverine Saga (2009) #7,7
16236,Cap Transport (2005) #16,16
15878,Hedge Knight II: Sworn Sword (2007) #1 (Yu Variant),1
21474,Ultimate X-Men (Spanish Language Edition) (2000),0
21463,Ultimate Spider-Man (Spanish Language Edition) (2000) #10,10
323,Ant-Man (2003) #2,2
38041,X-Men (2010),0
43092,Brilliant (2011) #7,7
52802,THE UNITED STATES OF MURDER INC. ANNUAL 1 (2015) #1,1
71251,Daughters of the Dragon - Marvel Digital Original (2018) #1,1
71267,Iron Fist: Phantom Limb - Marvel Digital Original (2018) #1,1
69098,Mr. and Mrs. X (2018) #3,3
62124,The Mighty Captain Marvel Vol. 1: Alien Nation (Trade Paperback),1
67704,Ant-Man & the Wasp (2018) #5,5
67321,Cosmic Ghost Rider (2018) #3,3
69097,Mr. and Mrs. X (2018) #2,2
67147,Infinity Wars (2018) #2,2
68868,Luke Cage - Marvel Digital Original (2018) #1,1
69095,X-CLASSIFIED TPB (Trade Paperback),1
69553,Star Wars (2015) #50,50
67842,Ben Reilly: Scarlet Spider (2017),0
70092,Weapon X (2017) #21,21
67320,Cosmic Ghost Rider (2018),0
70269,Fantastic Four Epic Collection: The Coming of Galactus (Trade Paperback),0
68147,Deadpool (2018),0
71379,X-Men: Gold Annual 2 (2018),0
67717,Astonishing X-Men (2017),0
70259,X-Men: Revolution By Chris Claremont Omniibus (Hardcover),0
69557,Star Wars (2015) #52,52
69019,Marvel Rising: Ms. Marvel/Squirrel Girl (2018),0
67135,Immortal Hulk (2018),0
67950,Captain Marvel: Carol Danvers - The Ms. Marvel Years Vol. 2 (Trade Paperback),0
67703,Ant-Man & the Wasp (2018),0
67725,Astonishing X-Men By Charles Soule Vol. 2: A Man Called X (Trade Paperback),0
70236,X-Men: Gold (2017) #33,33
70224,X-Men: Dark Phoenix Saga Omnibus (Hardcover),0
69628,Star Wars: The Last Jedi Adaptation (2018),0
69381,Rise Of The Black Panther (Trade Paperback),0
67145,Infinity Wars (2018) #1,1
68000,Cloak and Dagger (2018) #3,3
68252,Death of Inhumans (2018),0
68608,Hunt for Wolverine: Weapon Lost (2018),0
68957,Marvel Legacy (Trade Paperback),0
67919,Captain America (2018),0
68111,Daredevil Epic Collection: Root Of Evil (Trade Paperback),0
70158,X-23 (2018) #2,2
67349,Infinity Wars Prime (2018) #1,1
60892,X-Men: Grand Design - Second Genesis (2018) #1,1
42257,S.H.I.E.L.D. By Hickman & Weaver: The Human Machine (Hardcover),0
70947,True Believers: Fantastic Four - The Birth of Valeria (2018) #1,1
68148,Deadpool: Assassin (2018) #4,4
67173,Marvel 2-in-One (2017) #8,8
69433,Secret Invasion By Brian Michael Bendis Omnibus (Hardcover),0
69096,Mr. and Mrs. X (2018) #1,1
69853,The Punisher (2016) #228,228
68600,Hunt for Wolverine: Mystery in Madripoor (2018) #3,3
70051,Venom (2018) #4,4
67633,The Amazing Spider-Man (2018) #2,2
69467,Spider-Girl: The Complete Collection Vol. 1  (Trade Paperback),0
70208,X-Men Origins: The Complete Collection (Trade Paperback),0
68094,Daredevil: Back In Black Vol. 6 - Mayor Fisk (Trade Paperback),0
69612,Star Wars: Lando - Double or Nothing (2018) #3,3
70196,X-Men Blue Vol. 4: Cry Havok (Trade Paperback),0
69343,Sentry (2018) #2,2
70219,X-Men: Blue (2017) #32,32
69596,Star Wars: Doctor Aphra (2016) #22,22
70946,True Believers: Fantastic Four Vs. The New Fantastic Four (2018) #1,1
67593,X-Men: Wakanda Forever (2018) #1,1
69435,Secret Invasion: Rise Of The Skrulls (Trade Paperback),0
69079,Moon Girl and Devil Dinosaur (2015) #33,33
70948,True Believers: Fantastic Four - What If? (2018) #1,1
69079,Moon Girl and Devil Dinosaur (2015) #33,33
69435,Secret Invasion: Rise Of The Skrulls (Trade Paperback),0
67539,Old Man Logan (2016) #44,44
70948,True Believers: Fantastic Four - What If? (2018) #1,1
73710,Ms. Marvel (2018) #3,3
69471,Spider-Gwen (2015) #34,34
68936,Marvel 2-In-One Vol. 1: Fate Of The Four (Trade Paperback),0
70235,X-Men: Gold (2017) #32,32
69925,Thor (2018) #3,3
70943,True Believers: Fantastic Four - The Coming of H.E.R.B.I.E. (2018) #1,1
70945,True Believers: Fantastic Four by Walter Simonson (2018) #1,1
69491,Spider-Man/Deadpool (2016) #36,36
67210,Falcon: Take Flight (Trade Paperback),0
69497,Spider-Man/Deadpool Vol. 6: WLMD (Trade Paperback),0
68787,Legion: Trauma (Trade Paperback),0
68747,Jessica Jones - Marvel Digital Original (2018) #1,1
67762,Avengers (2018) #5,5
69730,The Life of Captain Marvel (2018) #1,1
69959,Tony Stark: Iron Man (2018) #2,2
69584,Star Wars Legends Epic Collection: The Original Marvel Years Vol. 3 (Trade Paperback),0
68656,Infinity Countdown (2018) #5,5
67907,Cable (2017) #159,159
69111,Ms. Marvel Vol. 9: Teenage Wasteland (Trade Paperback),0
70944,True Believers: Fantastic Four by John Byrne (2018) #1,1
69555,Star Wars (2015) #51,51
68759,Star Wars: Journey To Star Wars: The Last Jedi - Captain Phasma (Hardcover),0
69419,Runaways (2017) #11,11
68592,Hunt for Wolverine: Claws of a Killer (2018) #3,3
69036,Marvel Super Hero Adventures: Ms. Marvel and the Teleporting Dog (2018) #1,1
69616,Star Wars: Poe Dameron (2016) #29,29
70080,Weapon H (2018) #5,5
67134,Immortal Hulk (2018) #3,3
68715,Invincible Iron Man: The Search For Tony Stark (Trade Paperback),0
73623,Cloak and Dagger - Marvel Digital Original (2018) #1,1
69221,Old Man Hawkeye (2018) #7,7
68135,Darth Vader Annual (2015) #2,2
70248,X-Men: Red (2018) #6,6
69279,Peter Parker: The Spectacular Spider-Man (2017) #307,307
69462,Skaar: Son Of Hulk - The Complete Collection (Trade Paperback),0
73709,Ms. Marvel (2018) #2,2
70941,True Believers: Fantastic Four - Hulk Vs. Thing (2018) #1,1
67982,Champions (2016) #22,22
69114,Ms. Marvel (2015) #32,32
69592,Star Wars: Doctor Aphra Vol. 3: Remastered (Trade Paperback),3
68584,Hunt for Wolverine: Adamantium Agenda (2018) #3,3
72794,True Believers: Fantastic Four - Marvel Two-In-One (2018) #1,1
67622,All-New Wolverine Vol. 6: Old Woman Laura (Trade Paperback),0
70149,Wolverine: Old Man Logan Vol. 7 - Scarlet Samurai (Trade Paperback),0
70218,X-Men: Blue (2017) #31,31
69374,Quicksilver: No Surrender (2018) #3,3
68331,Domino (2018) #4,4
69620,Star Wars: Rogue One Adaptation (Hardcover),0
70938,True Believers: Fantastic Four Vs. Doctor Doom (2018) #1,1
67942,Captain America Epic Collection: Hero or Hoax? (Trade Paperback),0
67538,Old Man Logan (2016) #43,43
68358,Exiles (2018) #5,5
69633,Star Wars: Thrawn (2018) #6,6
69214,Nova by Abnett & Lanning: The Complete Collection Vol. 1 (Trade Paperback),0
68960,Marvel Masterworks: Captain America Vol. 10 (Hardcover),0
70942,True Believers: Fantastic Four - Galactus Hungers (2018) #1,1
70155,X-23 (2018) #1,1
69937,Thor by Walter Simonson Vol. 4 (Trade Paperback),0
68267,Despicable Deadpool Vol. 3: The Marvel Universe Kills Deadpool (Trade Paperback),0
68100,Daredevil (2015) #605,605
68146,Deadpool: Assassin (2018) #3,3
68669,Infinity Countdown: Darkhawk (2018) #4,4
67692,Amazing Spider-Man: Renew Your Vows (2016) #21,21
68121,Darth Vader (2017) #18,18
69852,The Punisher (2016) #227,227
